track_uri,track_name,artist_uri,album_uri,playlist_uri,duration_ms,preview_url,popularity,added_at,added_by,,date,time,added_at
6epvwUINain4iSHCTWA0sj,The Village,7r2uG6BlFXKcwmh9ItqlII,1tVsOrPK4fwQB6kN7jIZxy,5SeRMB2OnaHc37NcNA9mEs,230293,https://p.scdn.co/mp3-preview/ef4ce13ca4f9b904ae9f1158a7205467ca89e8b2?cid=9950ac751e34487dbbe027c4fd7f8e99,68,2022-01-23 18:38:00,9fxmyzqww2wviyjdqpiqu4xjb,,2022-01-23,18:38:00,2022-01-23
3mRLHiSHYtC8Hk7bzZdUs1,River,0yb46jwm7gqbZXVXZQ8Z1e,1TTxcgs3zEngN0EB56yXzY,5SeRMB2OnaHc37NcNA9mEs,216133,https://p.scdn.co/mp3-preview/b702c8de9fdd5f151e12d86bcaf8206c6e85485a?cid=9950ac751e34487dbbe027c4fd7f8e99,77,2022-01-23 18:38:00,9fxmyzqww2wviyjdqpiqu4xjb,,2022-01-23,18:38:00,2022-01-23
50Hv5NZIM0puIUoBttjpfb,King of the Clouds,20JZFwl6HVl6yg8a4H3ZqK,6ApYSpXF8GxZAgBTHDzYge,5SeRMB2OnaHc37NcNA9mEs,160746,https://p.scdn.co/mp3-preview/fe15fce3f0fd4e404af9d42b48f63e9d4a70bf08?cid=9950ac751e34487dbbe027c4fd7f8e99,61,2022-01-23 18:40:00,9fxmyzqww2wviyjdqpiqu4xjb,,2022-01-23,18:40:00,2022-01-23
3Zwu2K0Qa5sT6teCCHPShP,Thnks fr th Mmrs,4UXqAaa6dQYAk18Lv7PEgX,0hHopYqXhuvYSHtVyrcb1g,5SeRMB2OnaHc37NcNA9mEs,203506,https://p.scdn.co/mp3-preview/1bc87ee6cc42ff76174eed6b617cfa21bc4e4dbd?cid=9950ac751e34487dbbe027c4fd7f8e99,79,2022-01-23 18:48:00,9fxmyzqww2wviyjdqpiqu4xjb,,2022-01-23,18:48:00,2022-01-23
4U45aEWtQhrm8A5mxPaFZ7,Vienna,6zFYqv1mOsgBRQbae3JJ9e,1Mhn9VosyjtWn4dMPFlna6,5SeRMB2OnaHc37NcNA9mEs,214240,https://p.scdn.co/mp3-preview/b89ebbbeb75da99a2cf4b893d0d966df9da434ba?cid=9950ac751e34487dbbe027c4fd7f8e99,77,2022-01-23 18:48:00,9fxmyzqww2wviyjdqpiqu4xjb,,2022-01-23,18:48:00,2022-01-23
1cRY1p6f4k8B1fGt7hnP5H,A LOT,73eAAfRkS2Vi4hx68oTJJE,4XGzDdMJjki0kKTPbrnD3j,5SeRMB2OnaHc37NcNA9mEs,181945,https://p.scdn.co/mp3-preview/d176ade5e8ef9731fff23794074a8ec4f8d5c53c?cid=9950ac751e34487dbbe027c4fd7f8e99,65,2022-01-23 18:50:00,iamchen7,,2022-01-23,18:50:00,2022-01-23
6e3ASsTnmBCD9Xc8yozBDu,crowded room,7naAJDAh7AZnf18YYfQruM,03zDUuyCoXfI0uPNdgshjK,5SeRMB2OnaHc37NcNA9mEs,172630,https://p.scdn.co/mp3-preview/f3f91f2d6fd4946161ff55480db25c0ddd78229a?cid=9950ac751e34487dbbe027c4fd7f8e99,44,2022-01-23 18:50:00,iamchen7,,2022-01-23,18:50:00,2022-01-23
3GmKMMegOOLPByBUzRxqCS,Lovely,4rQTEdG6hDVOlDUFKs9EjZ,1yaDEDojbdqDCeOspFEieV,5SeRMB2OnaHc37NcNA9mEs,176974,https://p.scdn.co/mp3-preview/0d7f45d08fe8b3b6deac8806e0f4bb0f03cb0840?cid=9950ac751e34487dbbe027c4fd7f8e99,50,2022-01-23 18:51:00,iamchen7,,2022-01-23,18:51:00,2022-01-23
6mQLN3zRtAp6ovjusyYKrV,Rewrite The Stars (with James Arthur and Anne-Marie),4IWBUUAFIplrNtaOHcJPRM,4i7GEsKuuCtECD5l0VUctL,5SeRMB2OnaHc37NcNA9mEs,218293,https://p.scdn.co/mp3-preview/d3b9071d04ca78ce322c3f8e2304dd13c9cae5f8?cid=9950ac751e34487dbbe027c4fd7f8e99,76,2022-01-23 18:51:00,iamchen7,,2022-01-23,18:51:00,2022-01-23
6Xgq7MvZiet0hVi3KaDSgJ,Holy (feat. Chance The Rapper),1uNFoZAHBGtllmzznpCI3s,5dGWwsZ9iB2Xc3UKR0gif2,5SeRMB2OnaHc37NcNA9mEs,212093,https://p.scdn.co/mp3-preview/4031d3caae9e8c9f757923afce2f06957f796e4f?cid=9950ac751e34487dbbe027c4fd7f8e99,73,2022-01-23 18:51:00,iamchen7,,2022-01-23,18:51:00,2022-01-23
6LN15vwkSE1ZiA8IdBjl7k,ONE PUNCH,3hOdow4ZPmrby7Q1wfPLEy,06qAr8048ptTbaxUNvWHOz,5SeRMB2OnaHc37NcNA9mEs,145371,https://p.scdn.co/mp3-preview/a4c2fed2ce2addb7d9814fc6dce95dc50e900dd3?cid=9950ac751e34487dbbe027c4fd7f8e99,63,2022-01-23 20:28:00,uimrhx0o9b31xw9ccq37mho31,,2022-01-23,20:28:00,2022-01-23
